smiles,valid,MW,LogP,HBA,HBD,TPSA,RotBonds,QED,SA_score,Lipinski,max_tanimoto
CC1=CC(=O)N(CC2=CC3=C4C(=NC5=CC=CC=C5N4C2=O)COC3)C=C1,1,359.39,2.13,4,0,62.21,2,0.5157,4.38,5,0.1842
CC1=C(N2COC3=C(C=CC=C3)C2=O)C=CC(O)=C1,1,255.27,2.47,3,1,49.77,1,0.8519,3.98,5,0.1897
CN(CC(=O)NC(=O)C1=C(N)C(O)=C2OCCC(C)(C)C2=C1)C(=O)CCN,1,378.43,-0.19,7,4,147.98,5,0.4193,3.52,5,0.1313
CC[C@@H](C(=O)O)C1=CC(OC)=C2C3=C1N=C(N)[C@H]3N=C(C(=O)O)CCN2C,1,374.4,0.75,7,3,137.81,5,0.7126,4.68,5,0.1456
CC1=CC(=O)N(CC2=CC(C(=O)O)=C3C=CC4=CC=CC=C4N3C2=O)C=C1,1,360.37,2.35,3,1,77.92,3,0.5697,4.16,5,0.1507
C[C@]12CCN(C[C@H](O)C3=CC(C(=O)O)=C(O)C=C3)C(=O)[C@@H]1[C@@H](O)CCC2=O,1,377.39,0.32,6,4,135.37,4,0.6064,4.72,5,0.1477
O=C1N2CCCC3=C4C(=C5C=CC(Cl)=CC5=C3)CCC(=C42)N1C1CCCC1,1,378.9,5.69,1,0,23.55,1,0.5653,3.74,4,0.1609
C=C1CC[C@H](C)CC=C2OC3=C1C=CC=C3C(=O)N1[C@H]2[C@@H](O)CCC1(C)C,1,367.49,4.16,3,1,49.77,0,0.7323,5.93,5,0.1266
CC1=CC2=CC3=C4C(=C2C=C1)CCC1=C4N(CCC3)C(=O)N1C1CCCC1,1,358.49,5.52,1,0,23.55,1,0.6053,3.71,4,0.1609
CN1C2=C(O)C3=C(C=C2N2C(=O)C=C(O)C=C2[C@H]1O)C(C(=O)O)=C(O)C=C3,1,370.32,0.85,7,5,141.77,1,0.4305,4.65,5,0.1912
COCC1=C2CC=CN2C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C1=O,1,374.35,0.82,6,3,127.61,6,0.6635,4.48,5,0.1648
CC1=CC(=O)N(CC2=CC3=CNC4=C3N(C2=O)C2=CC(O)=CC=C2S4)C=C1,1,377.43,2.68,5,2,72.88,2,0.4956,4.56,5,0.1429
O=C1CN(O)C2=C(N1)C(O)=C(CN1C=CN=C1)C=C2,1,260.25,0.22,6,3,88.4,2,0.6942,4.35,5,0.25
C[C@H]1C2=CC=C(Cl)C=C2C2=CC(C(=O)CO)C=C3C4=CC=COC4=CC1=C32,1,376.84,4.33,3,1,46.53,2,0.8763,5.31,5,0.1446
CN(CC(=O)NC(=O)C1=C(N)C(O)=C2OCC[C@@](C)(O)C2=C1)C(=O)CCN,1,380.4,-1.47,8,5,168.21,5,0.3209,4.05,5,0.1287
CCO[C@H]1CCN(C)C(=NO)C2=NC3=C(C[C@H](CO)C=C3C(C)C)C(=O)N21,1,376.46,1.56,6,2,97.96,4,0.6094,4.72,5,0.1456
COC1=CC=C(C#N)C2=CC=CC3=C2N1C(=O)N3CC1=C(F)C=CC(=O)N1,1,364.34,2.25,4,1,85.67,3,0.7697,4.25,5,0.1299
CCN1C(=O)N(C2CCCC2)C2=C1C(C(=O)C1=CC=CC=C1)=CC(CO)=C2,1,364.45,3.38,3,1,60.85,5,0.7029,3.78,5,0.1667
CC1=CC(=O)N(C[C@H]2C[C@H]3C=C(C(=O)O)C4=CC(O)=CC=C4N3C2=O)C=C1,1,366.37,1.8,4,2,98.15,3,0.8623,4.93,5,0.1573
O=C1C=C2C=C(O)C3=NC(=O)N(CC4=CN(C=CC4)CC4=CC=C1C2=C4)C3,1,359.39,2.72,4,1,73.21,0,0.772,6.27,5,0.13
O=C1N[C@@H]2C[C@H](CC=NNC3=CC=CC(=C3)OC3=CC=CC1=C3)CNC2=O,1,364.41,1.32,5,3,91.82,0,0.6698,6.96,5,0.1562
CCC1=C(OC2=CC=C(C(=O)NCC(N)=O)C=C2)C=C(OC)C(OC)=C1O,1,374.39,1.61,6,3,120.11,8,0.6498,3.67,5,0.1818
CC1=CC(=O)N(CC2=CC(CO)=C3CC(=O)C4=CC=CC=C4N3C2=O)C=C1,1,362.39,1.66,4,1,77.92,3,0.7671,4.21,5,0.1364
CC1=C2CCC[C@@H]3C2=C(C[C@@H](O)[C@@H]3N)C(N(C)C)=C1,1,260.38,1.95,3,2,49.49,1,0.8082,4.58,5,0.1404
CC[C@@H]1C2=CC=CC3=C2C2=C4C(=C3O)N(C)C[C@H](C)N4C(=O)C3=CN=[S@H]1=C32,1,379.49,2.39,4,2,56.14,1,0.3883,5.64,5,0.1444
CC=C1CC=C2OC3=C(C=CC=C3C(=O)N3CCOC[C@@H]23)C2=COC=C2C1,1,363.41,3.42,4,0,48.0,0,0.6651,5.84,5,0.125
CC1=CC(=O)N(CC2=CC(CO)=C3C(=O)NC4=CC=CC=C4N3C2=O)C=C1,1,363.37,0.77,4,2,89.95,3,0.5338,4.2,5,0.1467
C[C@H]1C(=O)[C@H](O)CC2=C1C=C(CC(=O)O)C=C2N(C)C,1,277.32,1.11,4,2,77.84,3,0.8605,4.44,5,0.1212
CN1CCC(=O)N2C1=N[C@@H](O)C1=C2NC=C(NO)C1=O,1,279.26,-1.96,8,4,117.5,1,0.4996,4.52,5,0.1667
CCNC1=C2C(=O)N=C3CCC(C)(C)CN3C2=NC(C)=N1,1,287.37,1.7,5,1,69.42,2,0.913,3.85,5,0.1538
CC1=C2CC(C)(C)C[C@@H]3C2=C(CC(=O)[C@H]3O)C(N(C)C)=C1,1,287.4,2.83,3,1,40.54,1,0.8629,4.49,5,0.1475
CC1=NC2=C(C=NC=C2O)N1C(=O)C1=C(F)C=CC=C1F,1,289.24,2.59,4,1,65.26,1,0.7467,4.35,5,0.1486
C[C@H]1C2=CC=C(O)C=C2C2=CSC3=C4OCCOC4=CC1=C23,1,310.37,4.03,4,1,38.69,0,0.6637,4.92,5,0.1731
CCCOC1=CC=C(O)C=C1,1,152.19,2.31,2,1,29.46,3,0.7189,3.28,5,0.3929
O=C(NCC1=CC=CC=C1)C1=CC(OC(F)(F)F)=CC=C1F,1,313.25,3.37,2,1,38.33,4,0.875,3.73,5,0.1746
CC1=NC2=C3C(=N1)N1CC(C)(C)CCC1=N[C@H]3CC(=O)N2C,1,299.38,1.79,5,0,60.63,0,0.7368,4.5,5,0.1356
CCCN1C(=O)NC2=C3C1=NC=C1C=C(O)C(=O)C(=C13)C=C2C,1,309.32,2.25,4,2,82.0,2,0.5559,3.84,5,0.386
CC1=CC=CC=C1CNC(=O)C1=CC(OC(F)(F)F)=CC=C1F,1,327.28,3.76,2,1,38.33,4,0.8633,3.73,5,0.194
O=C(NCC1=CC=CC=C1O)C1=CC(OC(F)(F)F)=CC=C1F,1,329.25,3.25,3,2,58.56,4,0.8458,3.78,5,0.1625
CCC1=CC2=C(OC[C@H](O)CC2)C(C(=O)N2C=C(C)CC2)=C1O,1,317.39,2.71,4,2,70.0,2,0.8785,4.29,5,0.1364
CC1(C)CNC(=O)[C@H](NC(=O)C2=CC(OCCO)=CC=C2F)C1,1,324.35,0.7,4,3,87.66,5,0.7489,4.01,5,0.1882
O=C(N[C@@H]1C[C@H](CCO)OC1=O)C1=CC(OCCO)=CC=C1F,1,327.31,-0.14,6,3,105.09,7,0.6087,4.22,5,0.1905
CC1=C(N2CCCC2)C(CCN)=CC(CC2=CC=CC=C2O)=C1,1,310.44,3.9,3,2,49.49,5,0.8897,3.61,5,0.1481
CN1CCC2=C3C(=CC4=C2C=CO4)N2CCCCC2=C3NC1=O,1,309.37,2.73,3,1,44.81,0,0.6874,3.94,5,0.1647
O=C1CN(O)C2=C(C=CC=C2)N1,1,164.16,0.15,3,2,52.57,0,0.5969,3.74,5,0.1667
CN1C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C[C@H]1C(=O)O,1,324.29,-0.44,5,4,138.61,5,0.595,4.32,5,0.1455
CC1=CC=C(CNC(=O)C2=CC(OC(F)(F)F)=CC=C2F)C(C)=C1,1,341.3,4.15,2,1,38.33,4,0.8436,3.79,5,0.1571
C=C(C)CC1=CC(C(=O)O)=CC2=C1N(CC)C(=O)N2C1CCCC1,1,328.41,3.82,2,1,60.85,5,0.8501,3.45,5,0.1449
CC1=CCCCC[C@@H]2CNC(=O)[C@@H](C2)NC(=O)C2=CC(=CC=C2)O1,1,328.41,2.48,3,2,67.43,0,0.7694,6.01,5,0.1585
CC1=CN(C(=O)C2=C(O)C(C(C)C)=CC3=C2OC[C@H](O)CO3)CC1,1,333.38,2.15,5,2,79.23,2,0.8687,4.41,5,0.125
CCNC1=C2C(=O)N=C3C[C@@H](C(=O)O)C(C)(C)CN3C2=NC(C)=N1,1,331.38,1.01,6,2,106.72,3,0.8695,4.41,5,0.1408
CC1=CC(=O)N(CC2=CC(CO)=CN(C3=CC=CC=C3)C2=O)C=C1,1,322.36,1.94,3,1,60.85,4,0.7971,4.14,5,0.15
CCO[C@H]1CCN(C)C(=NO)C2=NC(CC(C)C)=C(CN)C(=O)N21,1,337.42,0.97,6,2,103.75,5,0.6109,4.29,5,0.1628
CC1=C(O)N(CCC2=CC=C(C(=O)O)C=C2)N=C2C[C@@H](C)CCN21,1,329.4,2.99,5,2,76.37,4,0.8878,4.32,5,0.1786
CC1=CC(=O)N(CC2C=C(CO)CN(C3=CC=CC=C3)C2=O)C=C1,1,324.38,1.68,3,1,60.85,4,0.8715,4.49,5,0.1528
C[C@H](O)CCN1CCCC2=C(C=CC=C2)C1=O,1,233.31,1.8,2,1,40.54,3,0.8652,3.61,5,0.1587
CCNC1=C2C(=O)N=C3N[C@@H](C(=O)O)C(C)(C)CN3C2=NC(C)=N1,1,332.36,-0.08,7,3,118.75,3,0.7553,4.46,5,0.1389
CN(C)C1=CC2=C3C4=C1CC(=O)[C@@H](O)[C@@H]4C=C1C=CC=C(CC2)N13,1,320.39,2.39,4,1,43.78,1,0.863,5.02,5,0.1143
COCC1=CN(C)C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C1=O,1,350.33,0.16,6,3,127.61,6,0.659,4.3,5,0.1714
CC1=CC(=O)N(CC2=CC3=C(CCCC3)N(C3=CC=CS3)C2=O)C=C1,1,352.46,3.99,3,0,40.62,3,0.7259,4.14,5,0.1304
CC1=CC(=O)N(CC2=CC=C3C=CC4=CC=C(O)C=C4N3C2=O)C=C1,1,332.36,2.78,3,1,60.85,2,0.5741,4.32,5,0.1731
C[C@H]1C2=CC=C(O)C=C2C2=CSC3=C4C(=O)C(C)(C)COC4=CC1=C23,1,350.44,4.65,4,1,46.53,0,0.5951,4.96,5,0.1739
C[C@@H]1CC2=C3[C@@H](C1)CN(C)C1=NC(=O)C4=C(C5=C2OCCC5=C=C4)N13,1,333.39,2.47,4,0,45.14,0,0.6955,5.25,5,0.1233
C[C@@]12CCC[C@H]3C1=C(CC2)C1=C2C(=CC(C(N)=O)=C1O)COC(=O)[C@H]23,1,339.39,2.6,4,2,89.62,1,0.7698,4.82,5,0.1231
CC=C1C(=O)N2C3=C4C5=C(C=CC=C5CC[C@@H]14)C(O)=C3N(C)C[C@@H]2C,1,334.42,3.35,3,1,43.78,0,0.7471,4.7,5,0.1395
CN1C2=C(O)C3=C(C=C2N2CC=C(O)C=C2[C@H]1O)C(C(N)=O)=CC=C3,1,339.35,0.84,6,4,110.26,1,0.6275,4.64,5,0.1609
O=C1C2=C(C=CC=C2)OCN1C1=CC=CC=C1,1,225.25,2.19,2,0,29.54,1,0.7464,3.85,5,0.2273
C[C@@]12CCC[C@H]3C1=C(CC2)C1=C2C(=CC(C(=O)O)=C1O)COC(=O)[C@H]23,1,340.38,3.2,4,2,83.83,1,0.7633,4.79,5,0.125
C[C@@]12CCC[C@H]1C(=O)N(C[C@H](O)C1=CC(C(=O)O)=C(O)C=C1)C[C@H]2O,1,349.38,0.75,5,4,118.3,4,0.6471,4.79,5,0.1512
CC1=CN(C(=O)C2=C(O)C3=C(C=CC=C3)C3=C2OC[C@H](O)CO3)CC1,1,341.36,1.99,5,2,79.23,1,0.8328,4.43,5,0.1639
O=C(O)C1=C(O)C=CC([C@@H](O)CN2C(=O)N3CCCCC[C@@H]3[C@@H]2O)=C1,1,350.37,0.74,5,4,121.54,4,0.6456,4.48,5,0.1905
CC1=NC2=C3C(=N1)N1C[C@@]4(C)CCNC[C@@H]4CC1=N[C@H]3CC(=O)N2C,1,340.43,0.99,6,1,72.66,0,0.7733,5.2,5,0.1385
CCO[C@H]1CCN2CC=CN=C2C2=NC(CC(C)C)=C(CC)C(=O)N21,1,344.46,2.93,5,0,57.5,5,0.8234,4.2,5,0.1609
CC1=C2C[C@@H](C(=O)O)CC[C@@]3(C)CCC(=C23)C2=C1C=CC(C(=O)O)=C2,1,338.4,4.18,2,2,74.6,2,0.8648,4.33,5,0.1412
COC1=CC2=C3C(=C1)[C@H](O)C1=C4C(=C(O)C=C1)CN(C)C(=N[C@@H]2C)N43,1,337.38,1.73,6,2,68.53,1,0.8374,5.15,5,0.125
CC1=CN(C(=O)C2=C(O)C3=C(C=CC=C3)C3=C2OC[C@H](O)CC3)CC1,1,339.39,2.8,4,2,70.0,1,0.8379,4.32,5,0.1628
CC1=C2C[C@@H](C(=O)O)CC[C@@]3(C)CCC(=C23)C2=C1C=CC(C(N)=O)=C2,1,337.42,3.58,2,2,80.39,2,0.8801,4.39,5,0.1507
CC(C)CCN1CCCC2=C(C=CC=C2)C1=O,1,231.34,3.08,1,0,20.31,3,0.7824,3.03,5,0.1803
CN1CC(=O)N2C(=O)C[C@@H]3CC4=CC=CC5=C4C4=C(C=C5)C(O)=C1C2=C43,1,344.37,2.41,4,1,60.85,0,0.5029,4.35,5,0.1325
COC1=CC2=CC=CC=C2N2C(=O)C(CN3C=CC(C)=CC3=O)=CC=C12,1,346.39,2.87,3,0,49.85,3,0.536,4.14,5,0.137
CCC[C@@H](C)CC1=C(CC)C(=O)N2C(=N1)C(=NO)N(C)CC[C@@H]2OCC,1,364.49,3.2,5,1,77.73,7,0.5943,4.46,5,0.16
C[C@H]1CN(C)C2=C(O)C3=C4C(=CC=C3)C[C@@H]3[C@H]5C(=CN3C)C(=O)N1C2=C45,1,347.42,2.21,4,1,47.02,0,0.7957,5.1,5,0.1395
CCN1C(=O)N(C2CCCC2)C2=C1C(C(=O)C1=CC=CC=C1)=CC(Cl)=C2,1,368.86,4.58,2,0,40.62,4,0.6193,3.66,5,0.169
CC1=CCN2C(=O)[C@H](O)CN3C(C=C(C(=O)O)C(C)(C)C)=NC(=O)C1=C23,1,359.38,0.66,5,2,110.51,2,0.7582,4.4,5,0.1237
O=C1N[C@@H]2C[C@H](CCCC3=CC=CC(=C3)OC3=CC=CC1=C3)CNC2=O,1,350.42,2.57,3,2,67.43,0,0.7673,6.61,5,0.1613
CCCN1C(=O)N(CC2=C(F)C=CC(=O)N2)C2=C1C=C(OC(C)C)C=C2,1,359.4,3.09,3,1,61.88,6,0.7357,3.79,5,0.2273
COC1=CC2=C(C3=C(C)C=C(O)C=C3O)C(=O)N=C3N(C)CCC(=C1)N32,1,353.38,2.42,6,2,85.6,2,0.7335,4.15,5,0.1667
CCO[C@H]1CCN2CC=CN=C2C2=NC3=C(CC[C@H]4CCC[C@H]34)C(=O)N21,1,354.45,2.69,5,0,57.5,2,0.819,4.65,5,0.1456
O=C(O)CCN1CCCC2=C(C=CC=C2)C1=O,1,233.27,1.51,2,1,57.61,3,0.8613,3.0,5,0.1622
CCO[C@H]1CCN2CCCN=C2C2=NC3=C(CC[C@H]4CCC[C@H]34)C(=O)N21,1,356.47,2.56,5,0,57.5,2,0.8167,4.43,5,0.1386
CC1=CC(=O)N(CC2=CC3=CNC4=C3N(C2=O)C2=CC=CC=C2S4)C=C1,1,361.43,2.8,4,1,52.65,2,0.5248,4.43,5,0.1429
CCC1=C2C=C=CN2C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C1=O,1,356.33,1.35,5,3,118.38,5,0.5816,4.82,5,0.1316
CN1C[C@@H]2CC(C)(C)CC3=C2N2C1=NC(=O)C1=C2C2=C3OCCC2=C=C1,1,347.42,2.86,4,0,45.14,0,0.6876,5.01,5,0.125
CN1C2=C(O)C3=C(C=C2N2C(=O)C=C(O)C=C2[C@H]1O)C(C(=O)O)=CC=C3,1,354.32,0.96,6,4,121.54,1,0.5225,4.54,5,0.1613
COC(=O)C1=CN(C)C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C1=O,1,364.31,-0.31,7,3,144.68,5,0.5998,4.21,5,0.1875
COC1=CC2=C(C3=CC=C(C(=O)O)C=C3)C(=O)N=C3N(C)CCC(=C1)N32,1,351.36,1.71,5,1,82.44,3,0.7776,4.04,5,0.2024
CC1=C(O)[C@@H]2CC(=CO)C=C2N1C(=O)C1=CN(C2=CC=CC=C2)C=CC1,1,348.4,4.08,4,2,64.01,2,0.7835,4.88,5,0.1429
C[C@@]12CCCC[C@H]1C(=O)N(C[C@H](O)C1=CC(C(=O)O)=C(O)C=C1)C[C@H]2O,1,363.41,1.14,5,4,118.3,4,0.6441,4.72,5,0.1628
CC(=O)C1=CC2=C(C=C1)C1=C(COC(C3(C)CCCCC3)=N1)C(=O)N2C,1,352.43,3.45,4,0,58.97,2,0.7584,3.87,5,0.186
NCCCCN1CCCC2=C(C=CC=C2)C1=O,1,232.33,1.77,2,1,46.33,4,0.8048,3.03,5,0.1429
CCO[C@H]1CCN(C)C(=NC(C)=O)C2=NC3=C(C[C@@H](CO)CC3)C(=O)N21,1,362.43,0.92,5,1,94.8,3,0.8412,4.46,5,0.1485
CN1CC(=O)N2C3=C(CC[C@H]2O)C2=C(C=CC4=C2C=CC(O)=C4)C(O)=C31,1,350.37,2.08,5,3,84.24,0,0.5425,4.5,5,0.1928
O=C1N2CCCC3=C4C(=C5C=CC=CC5=C3)CCC(=C42)N1C1CCCC1,1,344.46,5.13,1,0,23.55,1,0.6321,3.68,4,0.1967
COC1=CC(C2=CC(C)=CC3=C2N=C(C2(C)CCNCC2)OC3)=CC=C1,1,350.46,3.97,4,1,42.85,3,0.8782,4.16,5,0.1412
CC1=CSC2=C1C(=O)N(C[C@H](O)C1=CC(C(=O)O)=C(O)C=C1)C(=O)N2C,1,376.39,1.5,6,3,118.38,4,0.6291,4.42,5,0.1549
CCO[C@H]1CCN(C)C(=NC(C)C)C2=NC3=C(C[C@@H](CO)CC3)C(=O)N21,1,362.47,1.78,5,1,77.73,4,0.8749,4.51,5,0.1485
CC1=CCN2C(=O)[C@H](O)[C@H]3CC4=CC(O)=CC(O)=C4C4=NC(=O)C1=C2N43,1,353.33,0.57,6,3,113.67,0,0.6367,4.95,5,0.1571
COC1=CC2=C3C(=C1)[C@H](O)C1=C4C(=C(O)C(C)=C1)CN(C)C(=N[C@@H]2C)N43,1,351.41,2.12,6,2,68.53,1,0.8262,5.09,5,0.1184
CC1=C(CN2CC[C@@H]3CC(=O)[C@H](C(N)=O)C[C@]3(C)C2)C(C(=O)O)=NN1C,1,362.43,0.44,6,2,116.3,4,0.762,4.51,5,0.1519
COC1=C2C[C@@H](C(=O)O)CC[C@@]3(C)CCC(=C23)C2=C1C=CC(C(=O)O)=C2,1,354.4,3.76,3,2,83.83,3,0.8761,4.34,5,0.1628
CC1=C(N2COC3=C(C=CC=C3)C2=O)C=CC=C1,1,239.27,2.58,2,0,29.54,1,0.7652,3.9,5,0.1837
CC1=CC2=C3C(=C1C)CN(C)C1=N[C@H](C)C4=C(C(=CC(C(=O)O)=C4)C2=O)N13,1,361.4,2.31,5,1,73.21,1,0.6756,4.7,5,0.1449
CCO[C@H]1CCN(C)C2=NC=CNC(=O)[C@@H](C)CC3=C(CC)C(=O)N1C2=N3,1,373.46,1.61,6,1,86.6,3,0.8601,5.68,5,0.1569
CN1CC(=O)N2C3=C4C5=C(C=CC6=C5C(=CC=C6)C[C@H]4C[C@H]2CO)C(O)=C31,1,360.41,2.24,4,2,64.01,1,0.6552,4.68,5,0.1364
O=C1N2CCCC3=C4C(=C5C=CC(O)=CC5=C3)CCC(=C42)N1C1CCCC1,1,360.46,5.01,2,1,43.78,1,0.7018,3.8,4,0.2317
CN1C2=CC=CC=C2N2C(=O)C[C@@H]3C[C@@H](O)C4=CC=CC5=C4C3=C2C1=C5O,1,358.4,2.71,4,2,64.01,0,0.6316,4.79,5,0.1538
O=C1N[C@@H]2C[C@H](CCCNC3=CC=CC(=C3)OC3=CC=CC1=C3)CNC2=O,1,365.43,1.72,4,3,79.46,0,0.6707,6.67,5,0.1625
CCCC1=CC2=C3C(=C1)[C@@H](CO)CC1=C3N(CCC2)C(=O)N1C1CCCC1,1,366.51,4.65,2,1,43.78,4,0.8902,4.11,5,0.15
CC1=CC(C(=O)O)=CC2=C1C=CC(OC(=O)NC1=C(C(=O)O)C=CC=C1)=C2,1,365.34,2.9,4,3,112.93,4,0.6399,3.94,5,0.1791
CC1=CC2=C3C(=C1O)C[C@H]1CCN4C(=O)CN(C)C5=C(O)C(=C3C1=C54)CC2,1,362.43,3.38,4,2,64.01,0,0.7562,4.51,5,0.1343
CC(C)(N)CC1=CC=CC2=C(O)N(CCC3=CC=C(C(=O)O)C=C3)N=CN12,1,368.44,2.75,6,3,102.39,6,0.7135,4.32,5,0.1591
